Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
370000,1.4144212,-0.041177142,999.0,-3.2142857142857144,-3.2142857142857144,1.0
380000,1.4142096,0.006177305,999.0,0.03411790728569031,0.03411790728569031,1.0
390000,1.4141868,-0.018342605,999.0,-0.15190366452390497,-0.15190366452390497,1.0
400000,1.4141623,-0.031049576,999.0,-1.5714285714285714,-1.5714285714285714,1.0
410000,1.4144286,-0.012245785,999.0,0.0,0.0,1.0
420000,1.414697,-0.012467521,999.0,0.0,0.0,1.0
430000,1.4146636,-0.017928928,999.0,0.0,0.0,1.0
440000,1.4146061,-0.029470015,999.0,-1.2916666666666667,-1.2916666666666667,1.0
450000,1.4145263,-0.06874557,999.0,-2.590909090909091,-2.590909090909091,1.0
460000,1.4144365,-0.02075832,999.0,-0.42857142857142855,-0.42857142857142855,1.0
470000,1.4145724,-0.02999496,999.0,0.0,0.0,1.0
480000,1.4147452,-0.036041684,999.0,0.0,0.0,1.0
490000,1.4148874,-0.0877198,999.0,0.22165780408041819,0.22165780408041819,1.0
500000,1.4150945,-0.0797279,999.0,-2.5833333333333335,-2.5833333333333335,1.0
510000,1.4149811,-0.023584679,999.0,0.0,0.0,1.0
520000,1.4147669,-0.022568595,999.0,0.0,0.0,1.0
530000,1.4148118,-0.023243487,999.0,0.0,0.0,1.0
540000,1.4148895,-0.04537288,999.0,0.0,0.0,1.0
550000,1.4147797,-0.015560609,999.0,0.0,0.0,1.0
560000,1.4145526,-0.019780744,999.0,0.0,0.0,1.0
570000,1.4143304,-0.019070918,999.0,0.0,0.0,1.0
580000,1.4137294,-0.026630456,999.0,-2.0,-2.0,1.0
590000,1.4135784,-0.02835093,999.0,-1.6666666666666667,-1.6666666666666667,1.0
600000,1.4131864,-0.01202714,999.0,-0.045454545454545456,-0.045454545454545456,1.0
610000,1.4131988,0.007834091,999.0,0.0,0.0,1.0
620000,1.413236,-0.018078808,999.0,0.10809862613677979,0.10809862613677979,1.0
630000,1.4133266,-0.038439393,999.0,-1.375696529041637,-1.375696529041637,1.0
640000,1.4137249,0.022381682,999.0,0.0,0.0,1.0
650000,1.4139351,0.0066468045,999.0,-0.2916666666666667,-0.2916666666666667,1.0
660000,1.4147531,-0.0053423494,999.0,-0.045454545454545456,-0.045454545454545456,1.0
670000,1.414821,0.007177054,999.0,0.0,0.0,1.0
680000,1.4150875,0.004112755,999.0,0.10270591576894124,0.10270591576894124,1.0
690000,1.4150023,-0.0015593205,999.0,-0.045454545454545456,-0.045454545454545456,1.0
700000,1.414311,0.00025804684,999.0,0.0,0.0,1.0
710000,1.4142803,-0.0039170207,999.0,0.0,0.0,1.0
720000,1.4140738,-0.017383764,999.0,0.0,0.0,1.0
730000,1.4140284,-0.006939246,999.0,0.0,0.0,1.0
740000,1.4136374,-0.0037477538,999.0,0.0,0.0,1.0
750000,1.413629,-0.007162637,999.0,0.0,0.0,1.0
760000,1.4134654,-0.0028087494,999.0,0.0,0.0,1.0
770000,1.4134396,-0.00083298126,999.0,0.2512737313906352,0.2512737313906352,1.0
780000,1.4129275,0.00501356,999.0,0.0,0.0,1.0
790000,1.4129199,0.011183525,999.0,0.0,0.0,1.0
800000,1.4128679,0.0022367758,999.0,0.14913231134414673,0.14913231134414673,1.0
810000,1.4128679,0.002499595,999.0,-0.13636363636363635,-0.13636363636363635,1.0
