Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1780000,1.317936,3.0155685,999.0,27.561647504906762,27.561647504906762,1.0
1790000,1.3172292,3.0965822,999.0,35.87967734866672,35.87967734866672,1.0
1800000,1.3168766,2.991405,999.0,32.792029185728595,32.792029185728595,1.0
1810000,1.3162146,3.0742536,999.0,32.411284782820275,32.411284782820275,1.0
1820000,1.3158867,3.009955,999.0,34.20579728755084,34.20579728755084,1.0
1830000,1.3147091,3.0599978,999.0,37.68990091482798,37.68990091482798,1.0
1840000,1.3139818,3.1415339,999.0,35.63129412992434,35.63129412992434,1.0
1850000,1.3126208,3.2312386,999.0,32.246023708747494,32.246023708747494,1.0
1860000,1.3116208,3.1214418,999.0,37.656666289676316,37.656666289676316,1.0
1870000,1.3113676,3.3832543,999.0,40.286810490820145,40.286810490820145,1.0
1880000,1.3111572,3.2402306,999.0,34.72505821152167,34.72505821152167,1.0
1890000,1.3114084,3.3795128,999.0,38.263028264045715,38.263028264045715,1.0
1900000,1.3116826,3.255338,999.0,32.057245671749115,32.057245671749115,1.0
1910000,1.3119096,3.2413452,999.0,33.86375225914849,33.86375225914849,1.0
1920000,1.3122194,3.3576264,999.0,34.91636684266004,34.91636684266004,1.0
1930000,1.3120639,3.368566,999.0,37.083189437786736,37.083189437786736,1.0
1940000,1.3118012,3.396896,999.0,38.67774226990613,38.67774226990613,1.0
1950000,1.3115166,3.4078643,999.0,38.839272532198166,38.839272532198166,1.0
1960000,1.3109238,3.4104996,999.0,35.53764628280293,35.53764628280293,1.0
1970000,1.3108771,3.5754504,999.0,41.11291476090749,41.11291476090749,1.0
1980000,1.3107718,3.5495765,999.0,40.572246226397425,40.572246226397425,1.0
1990000,1.310459,3.5439186,999.0,37.891038186020324,37.891038186020324,1.0
2000000,1.3093226,3.5115554,999.0,36.9818960590796,36.9818960590796,1.0
2010000,1.3090655,3.711892,999.0,35.39771658844418,35.39771658844418,1.0
2020000,1.3079226,3.70606,999.0,39.5153031904589,39.5153031904589,1.0
2030000,1.3077804,3.5304122,999.0,35.50432447923554,35.50432447923554,1.0
2040000,1.3068845,3.6795661,999.0,35.320068622177295,35.320068622177295,1.0
2050000,1.30678,3.8949234,999.0,44.11403503682878,44.11403503682878,1.0
2060000,1.3054773,3.7174573,999.0,40.849244152957745,40.849244152957745,1.0
2070000,1.3054359,3.724165,999.0,39.9851562778155,39.9851562778155,1.0
2080000,1.3041934,3.7493908,999.0,38.715495614842936,38.715495614842936,1.0
2090000,1.3041931,3.6264184,999.0,36.458336816893684,36.458336816893684,1.0
2100000,1.3043792,3.7560043,999.0,39.46537538008256,39.46537538008256,1.0
2110000,1.3043882,3.8504379,999.0,39.55357662174437,39.55357662174437,1.0
2120000,1.3044858,3.6808186,999.0,38.15376361933622,38.15376361933622,1.0
2130000,1.3044927,3.881436,999.0,42.89052385754056,42.89052385754056,1.0
2140000,1.3033975,3.9519043,999.0,46.59061739661477,46.59061739661477,1.0
2150000,1.3032367,3.795953,999.0,41.46101072430611,41.46101072430611,1.0
2160000,1.3018831,3.8748138,999.0,38.10455483943224,38.10455483943224,1.0
2170000,1.3015898,4.097644,999.0,46.81494659847684,46.81494659847684,1.0
2180000,1.3009279,4.134385,999.0,44.29174621538682,44.29174621538682,1.0
2190000,1.3007487,4.1378393,999.0,45.90762337048849,45.90762337048849,1.0
2200000,1.2990991,4.1770315,999.0,41.65312919291583,41.65312919291583,1.0
2210000,1.2984874,4.114238,999.0,40.12474881278144,40.12474881278144,1.0
2220000,1.2975032,4.1426463,999.0,41.58940694277937,41.58940694277937,1.0
2230000,1.2970484,4.285448,999.0,47.67272734642029,47.67272734642029,1.0
2240000,1.2964807,4.2598357,999.0,43.27078675952825,43.27078675952825,1.0
2250000,1.296139,4.188169,999.0,41.17608094215393,41.17608094215393,1.0
2260000,1.2951397,4.237561,999.0,40.68297654932196,40.68297654932196,1.0
2270000,1.2943838,4.4610167,999.0,46.62151781717936,46.62151781717936,1.0
2280000,1.2935452,4.37407,999.0,42.60501453009519,42.60501453009519,1.0
2290000,1.2927806,4.3334208,999.0,42.20507078038322,42.20507078038322,1.0
2300000,1.2924751,4.4029202,999.0,41.66366169669411,41.66366169669411,1.0
2310000,1.2921389,4.39129,999.0,40.555351681179474,40.555351681179474,1.0
2320000,1.2916055,4.4258585,999.0,45.238563402132556,45.238563402132556,1.0
